Codigo,Direccion,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
9066,"Castillo Urizar 1850, Ñuñoa",n/a,2575.0,5000.0,32.89,80.5,venta,departamento
8174,"General Freire 80, La Cisterna",n/a,2306.0,3493.0,43.57,73.2,venta,departamento
6558,"San Nicolás 1446, San Miguel",n/a,2134.0,3362.0,36.0,60.0,venta,departamento
8263,"San Diego 378, Santiago",n/a,2877.0,5170.0,35.35,66.07,venta,departamento
7717,"Dresden 4669, San Miguel",n/a,2855.0,4314.0,50.78,97.43,venta,departamento
8697,"Alcalde Pedro Alarcon, San Miguel",n/a,2231.0,4218.0,32.07,71.16,venta,departamento
8322,"Av. Fernández Albano 429, La Cisterna",n/a,1954.0,3031.0,31.58,65.86,venta,departamento
8392,"Carmen 650, Santiago",n/a,2652.0,3658.0,35.36,54.99,venta,departamento
8501,"Miguel León Prado 55, Santiago",n/a,2510.0,4200.0,29.33,84.29,venta,departamento
7635,"Av. Vicuña Mackenna 4192, Macul",n/a,2374.0,0.0,33.0,66.0,venta,departamento
7526,"Armando Moock 3945, Macul",n/a,3000.0,0.0,60.02,60.02,venta,departamento
8363,"Franklin con Santa Elena, Santiago",n/a,2355.0,3790.0,34.6,65.75,venta,departamento
8283,"Lord Cochrane 355, Santiago",n/a,2892.0,5644.0,34.76,67.78,venta,departamento
7989,"Nataniel Cox 655, Santiago",n/a,2578.0,4083.0,33.56,62.0,venta,departamento
6554,"Serrano 627, Santiago",n/a,2913.0,0.0,48.1,65.8,venta,departamento
7010,"Libertador Bernardo O’Higgins 87, Maipú",n/a,2931.0,4024.0,43.29,61.1,venta,departamento
7705,"General Jofré 220, Santiago",n/a,2218.0,3454.0,29.36,53.76,venta,departamento
8826,"Séptima Avenida 1355, San Miguel",n/a,2310.0,3826.0,38.44,78.61,venta,departamento
8595,"Lazo 1365, San Miguel",n/a,2300.0,2900.0,38.82,60.75,venta,departamento
8673,"Coronel Souper 4173, Estación Central",n/a,1860.0,2410.0,34.84,50.89,venta,departamento
7634,"Bartolo Soto 3950, San Miguel",n/a,2960.0,7860.0,45.23,147.05,venta,departamento
8942,"Ramón Cruz 3291, Macul",n/a,2490.0,4610.0,44.35,80.35,venta,departamento
8819,"Rondizzoni 2020, Santiago",n/a,2551.0,3807.0,25.48,49.3,venta,departamento
7031,"Ecuador 4570, Estación Central",n/a,2140.0,3400.0,39.19,70.29,venta,departamento
5965,"Av. María Rozas Velásquez 51 (ex Las Rejas Norte), Estación Central",n/a,2153.0,2661.0,32.74,52.89,venta,departamento
6800,"Av. Vicuña Mackenna 662, Ñuñoa",n/a,2301.0,4470.0,27.63,66.58,venta,departamento
8247,"Vicuña Mackenna 5862, La Florida",n/a,1630.0,2984.0,21.03,59.12,venta,departamento
8817,"Santa Isabel 330, Santiago",n/a,2787.0,3805.0,34.0,54.03,venta,departamento
6983,"Alcalde Pedro Alarcón 805, San Miguel",n/a,2105.0,2781.0,33.67,52.75,venta,departamento
7191,"Federico Scotto 0112, Estación Central",n/a,2182.0,2686.0,33.35,43.61,venta,departamento
7419,"Ramón Subercaseaux 1265, San Miguel",n/a,2963.0,0.0,40.6,93.3,venta,departamento
8585,"Zañartu 980, Ñuñoa",n/a,2585.0,3775.0,37.15,65.06,venta,departamento
7768,"Avenida Vespucio 4451, Macul",n/a,1882.0,3759.0,29.15,72.15,venta,departamento
8021,"Santa Cristina 3138, Macul",n/a,2600.0,4532.0,38.98,79.18,venta,departamento
8475,"Av. Ecuador 4707, Estación Central",n/a,2059.0,2880.0,24.76,45.39,venta,departamento
6535,"Av. Club Hípico 1604, Santiago",n/a,2845.0,3262.0,52.14,57.15,venta,departamento
8570,"Av. Colombia 7738, La Florida",n/a,1990.0,4527.0,39.61,71.61,venta,departamento
8747,"Séptima Avenida 1262, San Miguel",n/a,2347.0,3830.0,43.37,76.22,venta,departamento
8455,"Santa Elena 1346, Santiago",n/a,2887.0,5112.0,34.98,67.13,venta,departamento
8268,"San Luis de Macul 4355, Peñalolén",n/a,2785.0,3439.0,55.83,67.37,venta,departamento
8254,"Varas Mena 865, San Miguel",n/a,2137.0,0.0,40.7,74.0,venta,departamento
7261,"General Las Heras 1650, Santiago",n/a,2740.0,3251.0,38.23,55.4,venta,departamento
7845,"Vicuña Mackenna 3897, San Joaquín",n/a,2947.0,5347.0,40.05,79.87,venta,departamento
7587,"Colombia 7584, La Florida",n/a,2170.0,4810.0,35.9,88.75,venta,departamento
7916,"García Hurtado de Mendoza 8227, La Florida",n/a,2950.0,3770.0,54.62,65.91,venta,departamento
8833,"Ricardo Cumming 902, Santiago",n/a,1845.0,3398.0,24.75,57.01,venta,departamento
7016,"Placilla 046, Estación Central",n/a,2351.0,0.0,44.15,44.15,venta,departamento
8947,"Goycolea 824, La Cisterna",n/a,1583.0,3309.0,23.24,70.27,venta,departamento
8832,"Mirador Azul 133, La Florida",n/a,2509.0,3646.0,37.63,60.67,venta,departamento
3897,"Sergio Vieira de Mello 6400 (ex Aguada), Macul",n/a,2325.0,4025.0,35.21,83.69,venta,departamento
8562,"Los Clarines 3120, Macul",n/a,2590.0,5090.0,37.01,90.99,venta,departamento
7716,"Las Acacias 7700, La Florida",n/a,2300.0,0.0,41.59,60.51,venta,departamento
7770,"Abate Molina 186, Santiago",n/a,2300.0,3260.0,37.81,57.54,venta,departamento
7761,"Exequiel Fernández 1455, Ñuñoa",n/a,3000.0,5550.0,44.95,89.0,venta,departamento
8567,"Fray Camilo Henríquez 320, Santiago",n/a,2250.0,4167.0,30.3,66.91,venta,departamento
8390,"Ventura Blanco Viel 1400, San Miguel",n/a,2313.0,4631.0,35.39,78.28,venta,departamento
8858,"Américo Vespucio 7550, La Florida",n/a,2343.0,4003.0,39.79,88.06,venta,departamento
8165,"Walker Martínez 1100, La Florida",n/a,2125.0,4080.0,41.77,84.02,venta,departamento
8678,"Goycolea 100, La Cisterna",n/a,1840.0,0.0,34.94,46.17,venta,departamento
8939,"Titán 4876, Estación Central",n/a,2084.0,2884.0,43.23,58.73,venta,departamento
8749,"Arcángel 1218, San Miguel",n/a,2556.0,0.0,36.73,91.27,venta,departamento
8820,"San Pablo 1441, Santiago",n/a,2255.0,3278.0,21.91,52.55,venta,departamento
8080,"Walker Martínez 1620, La Florida",n/a,2867.0,4984.0,49.55,85.3,venta,departamento
7001,"Cuarta Avenida 1336, San Miguel",n/a,2128.0,2956.0,33.39,58.76,venta,departamento
8212,"San Ignacio de Loyola 691, Santiago",n/a,2410.0,3501.0,28.85,48.7,venta,departamento
