Codigo,Direccion,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
7525,"Almirante Blanco Encalada 2521, Santiago",-33.45755,-70.66876,n/a,2275,3717,29.5,57.9,venta,departamento
8453,"Av. Brasil 601, Santiago",-33.43743,-70.66429,n/a,2784,2847,36.88,37.81,venta,departamento
6675,"Monumento 2158, Maipú",-33.50769,-70.75911,n/a,3367,3823,60.83,65.18,venta,departamento
8377,"Central Pérez Llona 140, Maipú",-33.50017,-70.75587,n/a,3488,6576,59.83,100.33,venta,departamento
8528,"Calle Rinconada El Salto 291, Huechuraba",-33.38194,-70.6188,n/a,2697,7504,44.15,105.14,venta,departamento
7428,"San Nicolás 1141, San Miguel",-33.49898,-70.65469,n/a,3268,4130,66.51,98.66,venta,departamento
8212,"San Ignacio de Loyola 691, Santiago",-33.45432,-70.65584,n/a,2410,3501,28.85,48.7,venta,departamento
8902,"Pedro de Oña 55, Ñuñoa",-33.45378,-70.62936,n/a,3587,6674,38.04,78.11,venta,departamento
8475,"Av. Ecuador 4707, Estación Central",-33.45326,-70.6994,n/a,2059,2880,24.76,45.39,venta,departamento
7841,"Avenida Macul 2301, Macul",-33.47582,-70.59906,n/a,2750,0,51.02,100.71,venta,departamento
7831,"Dublé Almeyda 2980, Ñuñoa",-33.45616,-70.60003,n/a,3689,6647,42.05,84.23,venta,departamento
8273,"Lorenzo de Médicis 21, Las Condes",-33.40152,-70.55444,n/a,3965,7754,39.66,78.89,venta,departamento
8452,"San Eugenio 600, Ñuñoa",-33.45776,-70.62657,n/a,3354,7259,37.11,85.42,venta,departamento
8514,"Carmen 590, Santiago",-33.45088,-70.6412,n/a,2677,3791,33.68,53.42,venta,departamento
8204,"Av. Rosas 1220, Santiago",-33.43553,-70.65467,n/a,2863,5120,35.04,63.71,venta,departamento
8479,"Los Olmos 3031, Macul",-33.47942,-70.60106,n/a,3279,5002,51.72,83.95,venta,departamento
8570,"Av. Colombia 7738, La Florida",-33.52394,-70.5892,n/a,1990,4527,39.61,71.61,venta,departamento
8836,"Salesianos 815, San Miguel",-33.4939,-70.64619,n/a,3910,6070,80.15,236.89,venta,departamento
7768,"Avenida Vespucio 4451, Macul",-33.49708,-70.58556,n/a,1882,3759,29.15,72.15,venta,departamento
6325,"Camino El Roble 1550, Huechuraba",-33.34946,-70.67561,n/a,3778,4538,66.81,86.65,venta,departamento
8021,"Santa Cristina 3138, Macul",-33.48742,-70.60106,n/a,2600,4532,38.98,79.18,venta,departamento
7360,"Plaza Egaña 100, Ñuñoa",-33.45249,-70.57168,n/a,3324,7354,41.72,81.34,venta,departamento
8286,"Bretaña 1993, Ñuñoa",-33.44708,-70.61234,n/a,3745,9000,40.13,104.33,venta,departamento
6876,"San Nicolás 1171, San Miguel",-33.49886,-70.65535,n/a,2841,3573,50.62,63.76,venta,departamento
8080,"Walker Martínez 1620, La Florida",-33.52232,-70.58044,n/a,2867,4984,49.55,85.3,venta,departamento
8474,"Los Aliaga 5500, Ñuñoa",-33.45761,-70.57542,n/a,3572,6686,40.03,89.47,venta,departamento
8913,"Andalién 7320, La Florida",-33.52045,-70.55921,n/a,3250,4632,71.32,88.58,venta,departamento
8868,"Walker Martínez 911, La Florida",-33.52278,-70.58731,n/a,2493,4948,37.93,88.99,venta,departamento
8455,"Santa Elena 1346, Santiago",-33.46013,-70.62997,n/a,2887,5112,34.98,67.13,venta,departamento
7705,"General Jofré 220, Santiago",-33.44493,-70.6357,n/a,2218,3454,29.36,53.76,venta,departamento
8830,"Av. La Florida 10671, La Florida",-33.55519,-70.56202,n/a,2372,4897,37.78,93.04,venta,departamento
8268,"San Luis de Macul 4355, Peñalolén",-33.5057,-70.5874,n/a,2785,3439,55.83,67.37,venta,departamento
8144,"Arturo Prat 1942, Santiago",-33.47169,-70.64647,n/a,2262,3042,35.61,56.14,venta,departamento
7646,"Zañartu 2418, Ñuñoa",-33.47245,-70.60771,n/a,3315,4976,54.25,76.25,venta,departamento
5965,"Av. María Rozas Velásquez 51 (ex Las Rejas Norte), Estación Central",-33.45525,-70.7054,n/a,2153,2661,32.74,52.89,venta,departamento
6342,"Conde Del Maule 4325, Estación Central",-33.45356,-70.69562,n/a,1910,3173,33.07,33.07,venta,departamento
7716,"Las Acacias 7700, La Florida",-33.52503,-70.59956,n/a,2300,0,41.59,60.51,venta,departamento
5918,"Emilio Vaisse 760, Ñuñoa",-33.45112,-70.62605,n/a,3376,0,41.7,66.35,venta,departamento
7989,"Nataniel Cox 655, Santiago",-33.45402,-70.65267,n/a,2578,4083,33.56,62,venta,departamento
8705,"Av. La Florida 8220, La Florida",-33.52764,-70.5756,n/a,3007,4580,59.23,80.06,venta,departamento
7660,"Compañía de Jesús 1656, Santiago",-33.4397,-70.66025,n/a,2134,3648,25.1,35.93,venta,departamento
8452,"San Eugenio 600, Ñuñoa",-33.45776,-70.62657,n/a,3354,7259,37.11,85.42,venta,departamento
7051,"Morandé 857, Santiago",-33.43349,-70.65457,n/a,2763,3259,37.1,53.02,venta,departamento
3897,"Sergio Vieira de Mello 6400 (ex Aguada), Macul",-33.49489,-70.60764,n/a,2325,4025,35.21,83.69,venta,departamento
7821,"Macul 3474, Macul",-33.48608,-70.59922,n/a,3255,6228,39.38,84.64,venta,departamento
7289,"Segunda Avenida 1230, San Miguel",-33.50489,-70.65755,n/a,2319,3625,40.9,75.08,venta,departamento
7768,"Avenida Vespucio 4451, Macul",-33.49708,-70.58556,n/a,1882,3759,29.15,72.15,venta,departamento
7257,"Av. Ecuador 5079, Estación Central",-33.45502,-70.70377,n/a,2708,3100,51.14,69.27,venta,departamento
