Codigo,Direccion,Comuna,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda,Tipo Proyecto
5031081,"Emilio Vaisse 770, Ñuñoa",Ñuñoa,0,0,1D/1B,13,0,38,0, Arriendo, Departamento,Propiedad usada
4999057,"Paderewsky 1544, Vitacura",Vitacura,0,0,2D/2B,26,0,77,95, Arriendo, Departamento,Propiedad usada
4959416,"Exequiel Fernandez dos dormitorios Estacionamiento Bodega, Ñuñoa",Ñuñoa,0,0,2D/2B,14,0,65,65, Arriendo, Departamento,Propiedad usada
4984838,"Suecia con Pocuro, Providencia",Providencia,0,0,2D/2B,22,0,64,68, Arriendo, Departamento,Propiedad usada
4884663,"goycolea 1188, La Cisterna",La Cisterna,0,0,3D/1B,13,0,46,54, Arriendo, Departamento,Propiedad usada
4993775,"LORD COCHRANE 181 - Departamento 1820, Santiago",Santiago,0,0,2D/2B,14,0,45,51, Arriendo, Departamento,Propiedad usada
4727881,"Ricardo Cumming/Brasil, Santiago",Santiago,0,0,2D/2B,2575,0,47,50, Venta, Departamento,Propiedad usada
5025112,"Suiza/ Diego de Almagro, Providencia",Providencia,0,0,2D/2B,19,0,74,80, Arriendo, Departamento,Propiedad usada
4450271,"AYRES DE CHICUREO, EXCELENTE ESTADO, Colina",Colina,0,0,4D/3B,22,0,180,380, Arriendo, Casa,Propiedad usada
5042944,"Gerónimo de Alderete - Av. Las Condes, Vitacura",Vitacura,0,0,2D/2B,20,0,63,75, Arriendo, Departamento,Propiedad usada
4469917,"la arboleda 4146, Puente Alto",Puente Alto,0,0,4D/2B,3000,0,95,171, Venta, Casa,Propiedad usada
5010924,"Argomedo, Portugal, Santiago",Santiago,0,0,3D/2B,3950,0,72,74, Venta, Departamento,Propiedad usada
5036907,"Ciudad del Este - Av Diego Portales con, Puente Alto",Puente Alto,0,0,3D/2B,3072,0,68,71, Venta, Departamento,Propiedad usada
4903273,"Toesca 2246, Santiago - Departamento 601, Santiago",Santiago,0,0,2D/2B,16,0,70,73, Arriendo, Departamento,Propiedad usada
4805199,"Metro Ñuble/Carlos Dittborn/San Eugenio, Ñuñoa",Ñuñoa,0,0,3D/1B,3182,0,90,93, Venta, Departamento,Propiedad usada
4994956,"Frente Peaje Las Canteras, Colina",Colina,0,0,2D/2B,16,0,85,1, Arriendo, Casa,Propiedad usada
3454013,"METRO MANQUEHUE - MALL APUMANQUE, Las Condes",Las Condes,0,0,2D/2B,31,0,80,85, Arriendo, Departamento amoblado,Propiedad usada
5037013,"Av. Américo Vespucio con Martín de Zamor, Las Condes",Las Condes,0,0,2D/1B,15,0,60,60, Arriendo, Departamento,Propiedad usada
